ID,Tribe,Genus,Stage,Rep,GenusStage
0,Aetalionini,Aet,4,1,Aet4
1,Aetalionini,Aet,4,2,Aet4
2,Aetalionini,Aet,3,3,Aet3
3,Aetalionini,Aet,4,4,Aet4
4,Aetalionini,Aet,4,5,Aet4
5,Aetalionini,Aet,4,6,Aet4
6,Aetalionini,Aet,4,7,Aet4
7,Aetalionini,Aet,4,8,Aet4
8,Aetalionini,Aet,4,9,Aet4
9,Aetalionini,Aet,4,10,Aet4
10,Polyglyptini,Ech,4,1,Ech4
11,Polyglyptini,Ech,4,2,Ech4
12,Polyglyptini,Ech,4,3,Ech4
13,Polyglyptini,Ech,4,4,Ech4
14,Polyglyptini,Ech,4,5,Ech4
15,Polyglyptini,Eca,4,1,Eca4
16,Polyglyptini,Eca,4,2,Eca4
17,Polyglyptini,Eca,4,3,Eca4
18,Polyglyptini,Eca,4,4,Eca4
19,Polyglyptini,Eca,4,5,Eca4
20,Polyglyptini,Eca,4,6,Eca4
21,Polyglyptini,Eca,4,7,Eca4
22,Polyglyptini,Eca,4,8,Eca4
23,Polyglyptini,Eca,4,9,Eca4
24,Polyglyptini,Eca,4,0,Eca4
25,Polyglyptini,Met,4,1,Met4
26,Polyglyptini,Met,4,2,Met4
27,Polyglyptini,Met,4,3,Met4
28,Polyglyptini,Met,4,4,Met4
29,Polyglyptini,Met,4,5,Met4
30,Polyglyptini,Met,4,6,Met4
31,Polyglyptini,Met,4,7,Met4
32,Polyglyptini,Met,4,8,Met4
33,Polyglyptini,Met,4,9,Met4
34,Polyglyptini,Met,4,10,Met4
35,Polyglyptini,Met,4,11,Met4
36,Polyglyptini,Met,4,12,Met4
37,Polyglyptini,Pol,4,1,Pol4
38,Polyglyptini,Pol,4,2,Pol4
39,Polyglyptini,Pol,4,3,Pol4
40,Polyglyptini,Pol,4,4,Pol4
41,Polyglyptini,Pol,4,5,Pol4
